Institute,code,level,learning_outcomes
Unitec,ISCG7402,7,"Design and Implement a Large Network Infrastructure System.  Design and Implement Name Resolution Techniques.  Design and Implement a Wide Area Network System.  Design, Implement and Configure Network Security and Routers.  Design and Implement Voice over IP solution"
Unitec,ISCG7404,7,"Discuss Computer Investigation   Explain Data Sources and Acquisition Methods   Describe how to secure a Computer Incidence or Crime Scene   Investigate Digital Forensic tools and their use for Forensic Analysis and Validation   Select suitable analysis tools and apply them in a simulated investigation."
Unitec,ISCG7407,7,"Critically analyse and describe the principles of information and infrastructure security in the context of cyber security.   Critically analyse and describe a selection of security technologies and solutions   Critically analyse and describe various common cyber security threats according to risk mitigation priority and describe triple stages of these attacks.    Research and analyse cyber security issues and solutions from the risk mitigation priority perspectives.   Critically analyse different mitigation mechanisms and prevention to determining and evaluating possible security solutions.   Critically analyse and describe different solutions for preventing cyber-attacks, and describe different network protection systems"
Unitec,ISCG7408,7,"Programming language knowledge necessary to analyse malware   Static and Dynamic analysis of malware   Understanding malware functionality and how malware enables the underground economy   Reverse engineering and obfuscation techniques used in modern malware   Shellcode analysis   Rootkit analysis"
Unitec,ISCG7410,7,"Explain the importance of information, information systems and information planning. Identify key issues for Information Technology Managers.   Analyse and distinguish between strategic aspects of information technology as opposed to operational aspects. Analyse the problems of aligning information systems options with business strategies.   Critique business cases utilising Information and Communication Technology (ICT) for achieving corporate objectives and goals.   Identify and analyse the trends in Information and Communication Technology (ICT).   Develop approaches for managing information systems resources.    Analyse issues associated with information systems operation.    Be able to measure and justify information systems investments.   Investigate the roles of IS managers or Vice President (VP) of Information Systems"
Unitec,ISCG7411,7,"Demonstrate understanding of Project Management methodologies   Effectively apply project management theory to given project scenarios   Demonstrate knowledge of the Principles, Themes, Processes and Techniques used in project management methodologies."
Unitec,ISCG7412,7,"Demonstrate knowledge of the four elements of the Management of Risk Framework    Demonstrate knowledge of management of risk documents   Demonstrate knowledge of management of risk techniques     Demonstrate understanding of theperspectives of risk management: Strategic, programme, project and operational, in relation to the IT industry    Apply the principles, approach, processes, embedding and reviewing of management of risk to given scenarios effectively   Successfully complete a Risk Health Check to a given scenario   Apply the Risk Maturity Model to a given scenario effectively"
Unitec,ISCG7413,7,"Discuss the role of the Quality Assurance Manager   Manage the test process, test execution and defect tracking   Manage requirement definition, validation and refinement   Apply test project management and risk management"
Unitec,ISCG7414,7,"Define the role of the business analyst throughout the phases of a information system development life cycle   Apply business process modelling   Determine and document Business Requirements   Apply logical modelling"
Unitec,ISCG7420,7,"Discuss the philosophy of client-server computing and its impact to the computing industry.  Discuss the tools used in providing web-based applications.  Design and implement a dynamic web application using a  range of languages/technologies/tools.  Discuss and evaluate the available data access technologies.  Design and develop a database client-server solution that meets specified organisational requirements using database and modern data access technologies."
Unitec,ISCG7421,7,"Obtain information from the internet, manuals, textbooks and supplied sample code to acquire in depth knowledge of a range of advanced technical features that extend the standard development environment of a given GUI language.   Demonstrate the ability to successfully apply such features and techniques when writing code to solve selected problems in the given GUI language   Be able to communicate the knowledge in a form which other programmers will find usable, relevant and easily intelligible."
Unitec,ISCG7424,7,"Acquire in depth knowledge of a range of advanced technical features that extend the standard software development environment to cater for the development of software for mobile devices by obtaining information from the internet, manuals, textbooks and supplied sample code.   Demonstrate the ability to successfully apply such features and techniques when writing code to solve selected problems in the given language for a mobile device.   Communicate the knowledge in a form that other programmers will find usable, relevant and easily intelligible. "
Unitec,ISCG7425,7,"Design and develop Java software using a variety of component based frameworks  Ability to select an appropriate framework for a specific software development  problem  Debug frameworks such as Hibernate and Spring   Critique and analyse the architectural software stack of systems that use these enterprise frameworks"
Unitec,ISCG7426,7,"Demonstrate an in-depth knowledge of modern data mining techniques  Apply data mining techniques for examining, processing and evaluating raw input data to discover, interpret and measure interesting patterns  Present data mining results in a form that non-technical audiences will find usable, relevant and intelligible"
Unitec,ISCG7427,7,"Recognise and adopt an Agile Mindset   Recognise and Practice Team Interactions Recognise Value Driven Development   Design Customer and User Involvement Process   Design Agile Process and Perform Agile Planning"
Unitec,ISCG7430,7,"Prepare a project proposal and plan. Analyse and document user requirements.   Research and critically evaluate new developments.   Select appropriate techniques and technologies to apply to the project.   Apply the selected techniques and technologies.   Document and present the project process and deliverables.   Analyse the project solving process followed, and identify possible improvements. Identify and analyse ethical issues as they arise."
Unitec,ISCG7431,7,"Prepare and present a project proposal and plan—usually in response to a client or      workplace need.   Analyse and document user requirements.   Research and critically evaluate possible new developments that could impact the         project.  Select appropriate techniques and technologies to apply to the project.  Apply the selected techniques and technologies.  Manage the project professionally, addressing ethical issues and project risks in an      appropriate manner.   Analyse the project solving process followed, and identify possible improvements.  Document and present the project process and deliverables in a public forum."
Unitec,ISCG7435,7,"As determined"
Unitec,ISCG7440,7,"Critically examine game design from a specific perspective utilising academic theory.  Evaluate player-centric design process and video games as a social tool.  Develop a personal and/or group approach to game ideation and game development addressing a specified game problem/goal.  In-depth exploration of appropriate media, methods and techniques for a proposed game project.  Develop and playtest an advanced game prototype, analyse the results, refine the prototype."
Unitec,ISCG7441,7,"Utilise, review, and enhance graphical and animation techniques to support game       projects.  Utilise, review, and enhance physics and mathematical techniques to support game      projects.  Document, create, and test a video game prototype or proof of concept.  Document a post-mortem of findings regarding the rapid prototype."
Unitec,ISCG7444,7,"Develop specialist knowledge and critical understanding of Cloud computing concepts and technologies in order to solve real-world problems.  Analyse software engineering methods used for designing, developing, and                                implementing Cloud-based software solutions.   Investigate cloud-based software development techniques, including types of cloud infrastructure, providers, and cloud-based services in response to requirement specifications.  Develop a cloud-based application using industry standard tools and techniques."
Unitec,ISCG7488,7,"Negotiated by student and the course developer"
Ucol,D101,5," Develop an application using an industry standard language Debug, test and document a software application Explain the fundamentals of programming "
Ucol,D111,5," Design a relational database to meet organisational requirements Apply interaction design concepts to a user interface Store and retrieve organisational data using query and reporting tools Explain database design and administration "
Ucol,I101,5," Describe information systems principles, roles and functional business areas Communicate effectively and professionally using industry standard tools Apply and explain professional, legal, and ethical principles relevant to the ICT industry "
Ucol,I102,5,"Apply a user needs analysis to identify organisational requirements Create, deliver and evaluate a training session Develop technical documentation to a professional standard Explain IT service management best practice"
Ucol,I111,5," Design a website according to UX design principles that meets organisational requirements Develop a website using an industry standard approach Explain the fundamentals of website development "
Ucol,I121,5," Analyse situations requiring problem solving Elicit and model user requirements using a variety of techniques Construct accurate systems analysis documentation reflecting requirements "
Ucol,T101,5," Describe the operation of current network technologies Select the most appropriate network technologies for a given scenario Apply testing and troubleshooting techniques to networking problems "
Ucol,T111,5," Describe the purpose and operation of major computer components Demonstrate use of a command line interface (CLI) Select, install, troubleshoot and configure IT hardware and systems software "
Ucol,D211,6," Evaluate alternative design solutions Design a complex information system Create a prototype from a design Formulate quality processes "
Ucol,I202,6,"Examine, discuss and apply the knowledge areas of project management. Develop a project plan for an IT related project. Use project management software to create a Gantt chart for scheduled activities and assigned resources, including people, equipment and their relevant costs. Use project management software to analyse project data and produce reports."
Ucol,I221,6," Create analysis documentation for a moderately complex system Create design documentation for the system under investigation Implement quality processes to ensure accuracy of analysis and design documentation "
Ucol,D201,6," Design and Construct small applications using a variety of algorithms Devise test plans to ensure quality software Create system maintenance documentation "
Ucol,D202,6," Undertake a team based iterative development project  Effectively manage an individual development task Implement processes to ensure quality Compare and select an appropriate development method for a given problem "
Ucol,I203,6," Describe the concepts of digital images, video and audio Create and manipulate digital image, video and audio files according to a technical specification for distribution across the ICT infrastructure Optimise digital multimedia for commonly used ICT mediums "
Ucol,I209,6,"Work within an ICT industry based environment Meet work placement expectations and requirements Record and evaluate work and progress Present placement outcomes to academic supervisors"
Ucol,I211,6," Define Electronic Commerce and describe its various categories Describe the major types of Electronic Commerce transactions Describe the limitations of Electronic Commerce Implement an online commercial Web site for selling products Implement user security and session management for the Web site "
Ucol,I213,6," Design and document a web application Secure critical business data within the web application Interface with a web based database management system Implement user security and session management "
Ucol,T201,6," Analyse and evaluate network services Implement and configure network services Analyse and diagnose faults within network services "
Ucol,T205,6," Describe the devices and services used to support communications in data networks and the internet Describe the role of protocol layers in data networks  Describe the importance of addressing and naming schemes at various layers of data networks in IPv4 and IPv6 environments  Design, calculate, and apply subnet masks and addresses to fulfil given requirements in IPv4 and IPv6 networks  Explain fundamental Ethernet concepts such as media, services, and operations Build a simple Ethernet network using routers and switches Use CISCO command-line interface (CLI) commands to perform basic router and switch configurations Utilise common network utilities to verify small network operations and analyse data traffic."
Ucol,T206,6," Describe basic switching concepts and the operation of CISCO switches Describe the purpose, nature, and operations of a router, routing tables, and the route lookup process  Describe how VLANs create logically separate networks and how routing occurs between them Configure and troubleshoot static routing "
Ucol,T211,6," Analyse and evaluate the security of IT systems Implement and configure the security of IT systems Diagnose IT systems security and mitigate weaknesses "
Ucol,I212,6,On successful completion of this paper students will be able to: Compare and select appropriate enterprise data management systems Design an enterprise data management system structure Implement an enterprise data management system including automated processes"
Ucol,I263,6," Demonstrate an understanding of the business finance environment. Calculate, interpret and evaluate capital budgeting techniques and apply them to the appraisal of investment decisions. Apply understanding of working capital and current assets management to given business situations. Evaluate short term and long term financing alternatives for businesses. Analyse principles of capital structure including the cost of capital. Demonstrate application of different aspects of business finance to case studies and offer recommendations. "
Ucol,I301,7,"Demonstrate the work-place skills and attributes required to obtain a role in a New Zealand business. Identify and critically analyse business-related processes and issues relating to an organisation and apply theoretical knowledge to processes or problems. Develop and present a proposal for a project on a specific organisational issue."
Ucol,I302,7," Manage an ICT project for industry Produce original work and project deliverables Consider and apply professional work ethics Meet project timelines and goals Record and evaluate project work and progress  Present project outcomes to sponsors and academic supervisors"
Ucol,D301,7," Work in a team to deliver a software product Conduct effective and efficient inspections Evaluate software user interfaces for accessibility and usability  Design and implement testing to ensure a quality product "
Ucol,D303,7," Design and develop mobile applications in a major mobile platform Apply current software technologies, framework architecture and standards used in mobile application development  Securely transfer local data to a remote real-time database "
Ucol,D311,7," Discuss and argue an advanced database topic Install a server-based database management system Design and create a data warehouse schema Transfer and transform data from more than one data source into a data warehouse Analyse and process data for management reporting View pre-processed information from the data warehouse from a separate application "
Ucol,I303,7,"Discuss and analyse practices associated with managing and structuring ICT services within an organisation Recommend and design a service continuity plan for an organisation Apply best practice human resource management techniques  Develop and recommend strategies and plans to improve an organisation’s IT service"
Ucol,I321,7," Undertake a feasibility study to recommend a solution to business problems Present a business case to project stakeholders   Develop a model of the proposed complex system Implement quality processes to ensure accuracy of analysis and design documentation "
Ucol,I309,7,"Explore a new or additional topic which will extend skills to a higher level"
Ucol,T301,7," Assess and recommend appropriate network hardware and configuration/s for given scenario/s Assess, evaluate and recommend the deployment of virtualisation/cloud/containerised infrastructure Assess and respond to infrastructure requirement change/s Implement network/virtualisation/cloud/containerised infrastructure for given scenario/s "
Ucol,T302,7," Configure and troubleshoot routers in a complex routed IPv4 or IPv6 network using single area OSPF Describe different WAN technologies and QoS mechanisms Describe the operations and benefits of virtual private networks (VPNs) and IPSec Configure, and troubleshoot Access Control Lists (ACLs) Configure, and troubleshoot Network Address Translation (NAT) for IPv4 Describe enterprise-scale network-management techniques including software-defined networking, virtualisation, monitoring and automation "
Ucol,T311,7," Configure and administer multi-user implementation of a client/server network Implement strategies that will ease administrative burden  Implement remote administration of central services "
Ucol,T312,7," Explain the operation of Virtual Private Networks (VPNs), firewalls, router security, switch security and network security Configure and troubleshoot Virtual Private Networks (VPNs) Configure and troubleshoot Firewalls Analyse, configure and troubleshoot router and switch security in an IP network "
Ucol,I304,7," Demonstrate how data analytics techniques and tools are used to support business decision making Apply data analytics tools and techniques on organisational data Provide meaningful representation of organisational data "
Ucol,I311,7," Demonstrate advanced understanding of new, emerging, and influential web technologies Investigate and critically present on a new or influential web technology Develop systems demonstrating advanced application of new or influential web technology "
Ucol,I367,7," Discuss how project management process groups and processes are used to manage projects Evaluate the project environment, and identify the factors that may impact the outcome of a project Consider the role of the project manager and their sphere of influence. Consider the purpose, key concepts, inputs, and outputs for each project management knowledge area. Integrate the techniques defined in the knowledge management areas to solve project management problems. Create key project management plan components, and project documents. "
Otago,IN503001,5," Employ sound communication in order to elicit user requirements to inform the planning process.  Work as a member of a team to produce a simple technical output. "
Otago,IN510001/IX510001,5," Create programs using basic programming constructs and simple data structures to solve specified problems. Apply a logic depiction method to decompose appropriate simple problems. "
